A	[A]	ax
NIBBLING	[NIBBLING]	n ih b ax l ix ng
NICE	[NICE]	n ay s
NICELY	[NICELY]	n ay s l iy
NICER	[NICER]	n ay s er
NICHOLAS	[NICHOLAS]	n ih k ax l ax s
NICKNAME	[NICKNAME]	n ih k n ey m
NICKY	[NICKY]	n ih k iy
NICKY'S	[NICKY'S]	n ih k iy z
NIECE	[NIECE]	n iy s
NIECE'S	[NIECE'S]	n iy s ix z
NIGHT	[NIGHT]	n ay t
NIGHT'S	[NIGHT'S]	n ay t s
NIGHTGOWN	[NIGHTGOWN]	n ay t g aw n
NIGHTLIGHT	[NIGHTLIGHT]	n ay t l ay t
NIGHTMARES	[NIGHTMARES]	n ay t m eh r z
NIGHTNIGHT	[NIGHTNIGHT]	n ay t n ay t
NIGHTNIGHTS	[NIGHTNIGHTS]	n ay t n ay t s
NIGHTS	[NIGHTS]	n ay t s
NIGHTSHIRT	[NIGHTSHIRT]	n ay ch er t
NIGHTTIME	[NIGHTTIME]	n ay t t ay m
NIGHTYNIGHT	[NIGHTYNIGHT]	n ay t iy n ay t
NIMA	[NIMA]	n ih m
NIMBLE	[NIMBLE]	n ih m b ax l
NINA	[NINA]	n ay n ax
NINE	[NINE]	n ay n
NINETEEN	[NINETEEN]	n ay n t iy n
NINETEENTH	[NINETEENTH]	n ay n t iy n th
NINI	[NINI]	n iy n iy
NINIGHT	[NINIGHT]	n ay n ay t
NINTH	[NINTH]	n ay n th
NIP	[NIP]	n ih p
NIPPLE	[NIPPLE]	n ih p ax l
NIPPLES	[NIPPLES]	n ih p ax l z
NIXI	[NIXI]	n ix k s iy
NIXIE	[NIXIE]	n ih k s iy
NO	[NO]	n ow
NO'S	[NO'S]	n ow z
NOAH	[NOAH]	n ow ax
NOBLE	[NOBLE]	n ow b ax l
NOBODY	[NOBODY]	n ow b aa d iy
NOBODY'S	[NOBODY'S]	n ow b aa d iy z
NOBOTICS	[NOBOTICS]	n ow b aa dx ih k s
NOD	[NOD]	n aa d
NOISE	[NOISE]	n oy z
NOISES	[NOISES]	n oy z ix z
NOISY	[NOISY]	n oy z iy
NOKI	[NOKI]	n aa k iy
NON	[NON]	n aa n
NONE	[NONE]	n ah n
NONETHELESS	[NONETHELESS]	n ah n dh ax l eh s
NONSENSE	[NONSENSE]	n aa n s eh n s
NOODLE	[NOODLE]	n uw dx ax l
NOODLES	[NOODLES]	n uw dx ax l z
NOOK	[NOOK]	n uh k
NOON	[NOON]	n uw n
NOONA	[NOONA]	n uw n ax
NOONE	[NOONE]	n uw n
NOPE	[NOPE]	n ow p
NORA	[NORA]	n ao r ax
NORDSTROM'S	[NORDSTROM'S]	n ao r d s t r ax m z
NORMAL	[NORMAL]	n ao r m ax l
NORMALLY	[NORMALLY]	n ao r m ax l iy
NORTH	[NORTH]	n ao r th
NORTHBOUND	[NORTHBOUND]	n ao r th b aw n d
NORTHEAST	[NORTHEAST]	n ao r th iy s t
NOSE	[NOSE]	n ow z
NOSED	[NOSED]	n ow z d
NOSER	[NOSER]	n ow s er
NOSES	[NOSES]	n ow z ix z
NOSE_A	[NOSE_A]	m ow s eh
NOT	[NOT]	n aa t
NOTE	[NOTE]	n ow t
NOTEBOOK	[NOTEBOOK]	n ow t b uh k
NOTHER	[NOTHER]	n ah dh er
NOTHING	[NOTHING]	n ah th ix ng
NOTHING'S	[NOTHING'S]	n ah th ix ng z
NOTICE	[NOTICE]	n ow dx ax s
NOTICED	[NOTICED]	n ow dx ax s t
NOTICES	[NOTICES]	n ow dx ax s ax z
NOTICING	[NOTICING]	n ow dx ix s ix ng
NOVEMBER	[NOVEMBER]	n ow v eh m b er
NOW	[NOW]	n aw
NOW'S	[NOW'S]	n aw z
NOWHERE	[NOWHERE]	n ow w eh r
NO_A	[NO_A]	n ow
NUHNUHNO	[NUHNUHNO]	n ax n ax n ow
NUMBER	[NUMBER]	n ah m b er
NUMBERS	[NUMBERS]	n ah m b er z
NUMMANUMMA	[NUMMANUMMA]	n ah m aa n ah m aa
NUMMY	[NUMMY]	n ah m iy
NUMNUMS	[NUMNUMS]	n ah m n ah m z
NUNCHKI	[NUNCHKI]	n ah n ch k iy
NUNCHKIE	[NUNCHKIE]	n ah n ch k iy
NUNDY	[NUNDY]	n ah n d iy
NUNS	[NUNS]	n ah n z
NURSE	[NURSE]	n er s
NURSED	[NURSED]	n er s t
NURSERY	[NURSERY]	n er s er iy
NURSES	[NURSES]	n er s ax z
NURSES_A	[NURSES_A]	n er s iy s
NURSEY	[NURSEY]	n er s iy
NURSEYS	[NURSEYS]	n er s iy z
NURSE_A	[NURSE_A]	n uw s
NURSE_B	[NURSE_B]	n uw
NURSE_C	[NURSE_C]	n aa s
NURSE_D	[NURSE_D]	n aa k s
NURSIE	[NURSIE]	n er s iy
NURSIES	[NURSIES]	n er s iy z
NURSIES_A	[NURSIES_A]	n ah r s iy s
NURSIE_A	[NURSIE_A]	n aa r s iy
NURSING	[NURSING]	n er s ix ng
NURSY	[NURSY]	n er s iy
NUSTREFATA	[NUSTREFATA]	n uw s t r eh f ax t ah
NUT	[NUT]	n ah t
NUTRITIOUS	[NUTRITIOUS]	n uw t r ih sh ax s
NUTS	[NUTS]	n ah t s
O	[O]	ow
O'CLOCK	[O'CLOCK]	ax k l aa k
O'S	[O'S]	ow z
OAT	[OAT]	ow t
OATIE	[OATIE]	ow t iy
OATIOS	[OATIOS]	ow dx iy ow s
OATMEAL	[OATMEAL]	ow t m iy l
OATYO'S	[OATYO'S]	ow t y ow z
OBBY	[OBBY]	aa b iy
OBISANASANA	[OBISANASANA]	ow b iy s aa n ax s aa n ax
OBJECTS	[OBJECTS]	aa b jh eh k t s
OBSCENE	[OBSCENE]	aa b s iy n
OBSCURE	[OBSCURE]	ax b s k y uh r
OBSESSED	[OBSESSED]	ax b s eh s t
OBSESSIVE	[OBSESSIVE]	ax b s eh s ix v
OBSTACLE	[OBSTACLE]	aa b s t ax k ax l
OBVIOUS	[OBVIOUS]	aa b v iy ax s
OBVIOUSLY	[OBVIOUSLY]	aa b v iy ax s l iy
OCEAN	[OCEAN]	ow sh ax n
OCEANS	[OCEANS]	ow sh ax n z
OCKERATE	[OCKERATE]	aa k er ey t
OCLOCK	[OCLOCK]	ow k l aa k
OCTAGON	[OCTAGON]	aa k t ax g aa n
OCTAGONS	[OCTAGONS]	aa k t ax g aa n z
OCTOBER	[OCTOBER]	aa k t ow b er
OCTOPUS	[OCTOPUS]	aa k t ax p uh s
OCTOPUSAGON	[OCTOPUSAGON]	aa k t ax p ah s ax g aa n
ODD	[ODD]	aa d
ODENOWICH	[ODENOWICH]	ow d eh n ax w ih ch
ODEO	[ODEO]	ow d iy ow
ODI	[ODI]	ow d iy
ODIO	[ODIO]	ow d iy ow
ODIOS	[ODIOS]	ow d iy ow s
ODIO_B	[ODIO_B]	ow d iy
OF	[OF]	ah v
OFF	[OFF]	ao f
OFFER	[OFFER]	ao f er
OFFERING	[OFFERING]	ao f er ix ng
OFFICE	[OFFICE]	ao f ax s
OFFICER	[OFFICER]	ao f ax s er
OFFICERS	[OFFICERS]	ao f ax s er z
OFTEN	[OFTEN]	ao f ax n
OFTENTIMES	[OFTENTIMES]	ao f ax n t ay m z
OHBOY	[OHBOY]	ow b oy
OHGOODNESS	[OHGOODNESS]	ow g uh d n ax s
OHMYGOODNESS	[OHMYGOODNESS]	ow m ay g uh d n ax s
OHNO	[OHNO]	ow n ow
OI	[OI]	oy
OIL	[OIL]	oy l
OILED	[OILED]	oy l d
OINK	[OINK]	ow ih ng k
OK	[OK]	ow k ey
OKAY	[OKAY]	ow k ey
OKAY_A	[OKAY_A]	k ey
OKEEDOKEE	[OKEEDOKEE]	ow k iy d ow k iy
OKEY	[OKEY]	ow k iy
OKEYDOKEY	[OKEYDOKEY]	ow k iy d ow k iy
OKIEDOKIE	[OKIEDOKIE]	ow k iy d ow k iy
OLD	[OLD]	ow l d
OLDER	[OLDER]	ow l d er
OLDFASHIONED	[OLDFASHIONED]	ow l d f ae sh ax n d
OLDMCDONALD'S	[OLDMCDONALD'S]	ow l d m ax k d aa n ax l d z
OLE	[OLE]	ow l
OLIE	[OLIE]	ow l iy
OLIVE	[OLIVE]	aa l ax v
OLIVER	[OLIVER]	aa l ax v er
OLIVES	[OLIVES]	aa l ix v z
OLIVIA	[OLIVIA]	ow l ih v iy ax
OLIVIA'S	[OLIVIA'S]	ow l ih v iy ax z
OLIVIAS	[OLIVIAS]	ow l ih v iy ax z
ON	[ON]	aa n
ONCE	[ONCE]	w ah n s
ONE	[ONE]	w ah n
ONE'S	[ONE'S]	w ah n z
ONES	[ONES]	w ah n z
ONI	[ONI]	ow n iy
ONION	[ONION]	ah n y ax n
ONIONS	[ONIONS]	ah n y ax n z
ONLINE	[ONLINE]	ao n l ay n
ONLY	[ONLY]	ow n l iy
ONTO	[ONTO]	aa n t uw
OOCHED	[OOCHED]	uw ch t
OOCHES	[OOCHES]	uw ch ih z
OOCHING	[OOCHING]	uw ch ix ng
OODLE	[OODLE]	uw dx ax l
OOEY	[OOEY]	uw iy
OOH	[OOH]	uw
OOHMYGOODNESS	[OOHMYGOODNESS]	ow m ay g uh d n ax
OOOH	[OOOH]	uw
OOPS	[OOPS]	uw p s
OOPSIE	[OOPSIE]	uw p s iy
OOPSY	[OOPSY]	uw p s iy
OOPSYDAISY	[OOPSYDAISY]	uw p s iy d ey z iy
OOZE	[OOZE]	uw z
OOZING	[OOZING]	uw z ix ng
OOZY	[OOZY]	uw z iy
OPEN	[OPEN]	ow p ax n
OPENED	[OPENED]	ow p ax n d
OPENING	[OPENING]	ow p ax n ix ng
OPENS	[OPENS]	ow p ax n z
OPERA	[OPERA]	aa p r ax
OPERATE	[OPERATE]	aa p er ey t
OPHELIA	[OPHELIA]	ax f iy l y ax
OPINION	[OPINION]	ax p ih n y ax n
OPPOSED	[OPPOSED]	ax p ow z d
OPPOSITE	[OPPOSITE]	aa p ax z ax t
OPPOSITES	[OPPOSITES]	aa p ax z ax t s
OPTION	[OPTION]	aa p sh ax n
OPTIONS	[OPTIONS]	aa p sh ax n z
OR	[OR]	ao r
ORANGE	[ORANGE]	ao r ax n jh
ORANGES	[ORANGES]	ao r ax n jh ax z
ORANGEY	[ORANGEY]	ow r ax n jh iy
ORANGUTAN	[ORANGUTAN]	ao r ae ng ax t ae n
ORBIT	[ORBIT]	ao r b ax t
ORCHESTRA	[ORCHESTRA]	ao r k ax s t r ax
ORCHESTRA'S	[ORCHESTRA'S]	ao r k ax s t r ax z
ORDER	[ORDER]	ao r dx er
ORDERED	[ORDERED]	ao r dx er d
ORDERS	[ORDERS]	ao r dx er z
OREGANO	[OREGANO]	ao r eh g ax n ow
ORGANIZED	[ORGANIZED]	ao r g ax n ay z d
ORGANIZING	[ORGANIZING]	ao r g ax n ay z ix ng
ORIGAMI	[ORIGAMI]	ow r ih g aa m iy
ORIGINALLY	[ORIGINALLY]	er ih jh ax n ax l iy
ORNAMENT	[ORNAMENT]	ao r n ax m ax n t
ORNAMENTS	[ORNAMENTS]	ao r n ax m ax n t s
ORNIKA	[ORNIKA]	er n ih k ax
OSCAR	[OSCAR]	ao s k er
OSCAR'S	[OSCAR'S]	ao s k er z
OSTRICH	[OSTRICH]	ao s t r ix ch
OSTRICH'S	[OSTRICH'S]	ao s t r ix ch ix z
OSTRICHES	[OSTRICHES]	aa s t r ix ch ix z
OT	[OT]	ao t
OTHER	[OTHER]	ah dh er
OTHERS	[OTHERS]	ah dh er z
OTHERWISE	[OTHERWISE]	ah dh er w ay z
OTHER_A	[OTHER_A]	ah d ax
OTTER	[OTTER]	aa dx er
OTTOMAN	[OTTOMAN]	aa dx ax m ax n
OUCH	[OUCH]	aw ch
OUCHI	[OUCHI]	aw ch iy
OUCHIE	[OUCHIE]	aw ch iy
OUCHY	[OUCHY]	aw ch iy
OUGHT_TO	[OUGHT_TO]	ao t t uw
OUR	[OUR]	aw er
OURS	[OURS]	aw er z
OURSELVES	[OURSELVES]	aw er s eh l v z
OUT	[OUT]	aw t
OUTDOORS	[OUTDOORS]	aw t d ao r z
OUTER	[OUTER]	aw dx er
OUTFIELD	[OUTFIELD]	aw t f iy l d
OUTFIT	[OUTFIT]	aw t f ih t
OUTING	[OUTING]	aw dx ix ng
OUTPATIENT	[OUTPATIENT]	aw t p ey sh ax n t
OUTSIDE	[OUTSIDE]	aw t s ay d
OUTSIDES	[OUTSIDES]	aw t s ay d z
OUTTA	[OUTTA]	uw dx ax
OVAL	[OVAL]	ow v ax l
OVEN	[OVEN]	ah v ax n
OVER	[OVER]	ow v er
OVERALLS	[OVERALLS]	ow v er ao l z
OVERDRESSED	[OVERDRESSED]	ow v er d r eh s eh d
OVERHEAD	[OVERHEAD]	ow v er hh eh d
OVERRUN	[OVERRUN]	ow v er r ah n
OVERWHELMED	[OVERWHELMED]	ow v er w eh l m d
OWE	[OWE]	ow
OWIE	[OWIE]	aw iy
OWL	[OWL]	aw l
OWL'S	[OWL'S]	aw l z
OWLFLIES	[OWLFLIES]	aw l f l ay z
OWLS	[OWLS]	aw l z
OWL_A	[OWL_A]	aw w ah l
OWN	[OWN]	ow n
OWNER	[OWNER]	ow n er
OWNS	[OWNS]	ow n z
OX	[OX]	aa k s
P	[P]	p iy
PA	[PA]	p aa
PACIFIER	[PACIFIER]	p ae s ax f ay er
PACK	[PACK]	p ae k
PACKAGE	[PACKAGE]	p ae k ax jh
PACKAGES	[PACKAGES]	p ae k ax jh ax z
PACKBACK	[PACKBACK]	p ae k b ae k
PACKED	[PACKED]	p ae k t
PACKERATE	[PACKERATE]	p ae k er ey t
PACKING	[PACKING]	p ae k ix ng
PACKS	[PACKS]	p ae k s
PACTAGON	[PACTAGON]	p aa k t ax g aa n
PAD	[PAD]	p ae d
PADDER	[PADDER]	p ae dx er
PADDINGTON	[PADDINGTON]	p ae dx ix ng t ax n
PADDINGTON'S	[PADDINGTON'S]	p ae dx ix ng t ax n z
PADDLE	[PADDLE]	p ae dx ax l
PADDLED	[PADDLED]	p ae dx ax l d
PADDY	[PADDY]	p ae dx iy
PADDYWHACK	[PADDYWHACK]	p ae dx iy w ae k
PADS	[PADS]	p ae d z
PAGADI	[PAGADI]	p ae g ax d iy
PAGE	[PAGE]	p ey jh
PAGED	[PAGED]	p ey jh d
PAGES	[PAGES]	p ey jh ax z
PAIL	[PAIL]	p ey l
PAILS	[PAILS]	p ey l z
PAIN	[PAIN]	p ey n
PAINFUL	[PAINFUL]	p ey n f ax l
PAINT	[PAINT]	p ey n t
PAINTBRUSH	[PAINTBRUSH]	p ey n t b r ah sh
PAINTBRUSHES	[PAINTBRUSHES]	p ey n t b r ah sh ix s
PAINTED	[PAINTED]	p ey n t ax d
PAINTING	[PAINTING]	p ey n t ix ng
PAINTINGS	[PAINTINGS]	p ey n t ix ng z
PAINTS	[PAINTS]	p ey n t s
PAINT_A	[PAINT_A]	p ey n
PAIR	[PAIR]	p eh r
PAJA	[PAJA]	p ax jh aa
PAJAMA	[PAJAMA]	p ax jh aa m ax
PAJAMAS	[PAJAMAS]	p ax jh aa m ax z
PAJAMEE	[PAJAMEE]	p ax jh ae m iy
PAL	[PAL]	p ae l
PALACE	[PALACE]	p ae l ax s
PALATABLE	[PALATABLE]	p ae l ax dx ax b ax l
PALE	[PALE]	p ey l
PALM	[PALM]	p aa m
PAN	[PAN]	p ae n
PANACKA	[PANACKA]	p ax n aa k ax
PANCAKE	[PANCAKE]	p ae n k ey k
PANCAKES	[PANCAKES]	p ae n k ey k s
PANDA	[PANDA]	p ae n d ax
PANDA'S	[PANDA'S]	p ae n d ax z
PANDABEAR	[PANDABEAR]	p ae n d ax b eh r
PANES	[PANES]	p ey n z
PANJABI	[PANJABI]	p ax n jh aa b iy
PANNING	[PANNING]	p ae n ix ng
PANS	[PANS]	p ae n z
PANT	[PANT]	p ae n t
PANTHER	[PANTHER]	p ae n th er
PANTS	[PANTS]	p ae n t s
PAPA	[PAPA]	p aa p ax
PAPA'S	[PAPA'S]	p aa p ax z
PAPAS	[PAPAS]	p aa p ax z
PAPER	[PAPER]	p ey p er
PAPER'S	[PAPER'S]	p ey p er z
PAPERS	[PAPERS]	p ey p er z
PAPUPPER	[PAPUPPER]	p ah p ah p er
PARACHUTE	[PARACHUTE]	p eh r ax sh uw t
PARADE	[PARADE]	p er ey d
PARASURALULAFALAFALUS_B	[PARASURALULAFALAFALUS_B]	p ae r ax
PARASURLULAFALAFALUS_A	[PARASURLULAFALAFALUS_A]	p ae r ax s ax l ax
PARASURULAFALAFALAFALAFALUS	[PARASURULAFALAFALAFALAFALUS]	p ae r ax s ax r ah l ax f ax l ah f ax l ah f ax l ah f ax l ax s
PARCH	[PARCH]	p aa r ch
PARDON	[PARDON]	p aa r d ax n
PARENTS	[PARENTS]	p eh r ax n t s
PARENTS'	[PARENTS']	p eh r ax n t s
PARIS	[PARIS]	p eh r ix s
PARK	[PARK]	p aa r k
PARKED	[PARKED]	p aa r k t
PARKING	[PARKING]	p aa r k ix ng
PAROLOLAFALUS	[PAROLOLAFALUS]	p ae r ow l ow l aa f ax l ax s
PARROT	[PARROT]	p eh r ax t
PARROT'S	[PARROT'S]	p eh r ax t s
PARROTFISH	[PARROTFISH]	p eh r ax t f ih sh
PARROTS	[PARROTS]	p eh r ax t s
PARSLEY	[PARSLEY]	p aa r s l iy
PART	[PART]	p aa r t
PARTICULARLY	[PARTICULARLY]	p aa r t ih k y ax l er l iy
PARTIES	[PARTIES]	p aa r dx iy z
PARTLY	[PARTLY]	p aa r t l iy
PARTNER	[PARTNER]	p aa r t n er
PARTS	[PARTS]	p aa r t s
PARTY	[PARTY]	p aa r dx iy
PASGETTIOS	[PASGETTIOS]	p ah s k eh d iy ow s
PASHERATE	[PASHERATE]	p ae sh er ey t
PASQUALA	[PASQUALA]	p ae s k w aa l ax
PASS	[PASS]	p ae s
PASSA	[PASSA]	p ah s ax
PASSED	[PASSED]	p ae s t
PASSENGERS	[PASSENGERS]	p ae s ax n jh er z
PASSES	[PASSES]	p ae s ax z
PASSIE	[PASSIE]	p ae s iy
PAST	[PAST]	p ae s t
PASTA	[PASTA]	p aa s t ax
PASTA_A	[PASTA_A]	p aa s t aa
PASTE	[PASTE]	p ey s t
PASTELS	[PASTELS]	p ae s t eh l z
PAT	[PAT]	p ae t
PAT'S	[PAT'S]	p ae t s
PATCH	[PATCH]	p ae ch
PATCHED	[PATCHED]	p ae ch t
PATCHES	[PATCHES]	p ae ch ax z
PATCHWORK	[PATCHWORK]	p ae ch w er k
PATEETIE	[PATEETIE]	p ah t iy dx iy
PATH	[PATH]	p ae th
PATHS	[PATHS]	p ae dh z
PATIENCE	[PATIENCE]	p ey sh ax n s
PATIENT	[PATIENT]	p ey sh ax n t
PATIENTS	[PATIENTS]	p ey sh ax n t s
PATIO	[PATIO]	p ae dx iy ow
PATOO	[PATOO]	p ae t uw
PATRICIA	[PATRICIA]	p ax t r ih sh ax
PATRICK'S	[PATRICK'S]	p ae t r ix k s
PATRIOTS	[PATRIOTS]	p ey t r iy ax t s
PATTED	[PATTED]	p ae dx ax d
PATTER	[PATTER]	p ae dx er
PATTING	[PATTING]	p ae dx ix ng
PATTY	[PATTY]	p ae dx iy
PATTYCAKE	[PATTYCAKE]	p ae dx iy k ey k
PAUL	[PAUL]	p ao l
PAUSE	[PAUSE]	p ao z
PAUSES	[PAUSES]	p ao z ax z
PAVER	[PAVER]	p ey v er
PAW	[PAW]	p ao
PAWPRINTS	[PAWPRINTS]	p ao p r ih n t s
PAWS	[PAWS]	p ao z
PAY	[PAY]	p ey
PAYING	[PAYING]	p ey ix ng
PEA	[PEA]	p iy
PEACH	[PEACH]	p iy ch
PEACHES	[PEACHES]	p iy ch ax z
PEACOCK	[PEACOCK]	p iy k aa k
PEACOCKS	[PEACOCKS]	p iy k aa k s
PEAK	[PEAK]	p iy k
PEAKING	[PEAKING]	p iy k ix ng
PEANUT	[PEANUT]	p iy n ax t
PEANUTBUTTER	[PEANUTBUTTER]	p iy n ax t b ah dx er
PEANUTS	[PEANUTS]	p iy n ax t s
PEAR	[PEAR]	p eh r
PEARBEAR	[PEARBEAR]	p eh r b eh r
PEARS	[PEARS]	p eh r z
PEARSAUCE	[PEARSAUCE]	p eh r s ao s
PEAS	[PEAS]	p iy z
PEBBLE	[PEBBLE]	p eh b ax l
PECK	[PECK]	p eh k
PECULIAR	[PECULIAR]	p ax k y uw l y er
PEDAL	[PEDAL]	p eh dx ax l
PEE	[PEE]	p iy
PEEABOO	[PEEABOO]	p iy ax b uw
PEED	[PEED]	p iy d
PEEING	[PEEING]	p iy ih ng
PEEJAYS	[PEEJAYS]	p iy jh ey z
PEEK	[PEEK]	p iy k
PEEKABOO	[PEEKABOO]	p iy k ax b uw
PEEKABOOKEY	[PEEKABOOKEY]	p iy k ax b uw k iy
PEEKAMOO	[PEEKAMOO]	p iy k ax m uw
PEEKED	[PEEKED]	p iy k t
PEEKING	[PEEKING]	p iy k ix ng
PEEKS	[PEEKS]	p iy k s
PEEL	[PEEL]	p iy l
PEELING	[PEELING]	p iy l ix ng
PEELS	[PEELS]	p iy l z
PEENT	[PEENT]	p iy n t
PEEP	[PEEP]	p iy p
PEEPEE	[PEEPEE]	p iy p iy
PEERING	[PEERING]	p iy r ix ng
PEET	[PEET]	p iy t
PEKAY	[PEKAY]	p eh k ey
PELICAN	[PELICAN]	p eh l ax k ax n
PELTING	[PELTING]	p eh l t ih ng
PEN	[PEN]	p eh n
PEN'S	[PEN'S]	p eh n z
PENCIL	[PENCIL]	p eh n s ax l
PENCILS	[PENCILS]	p eh n s ax l z
PENGAMS	[PENGAMS]	p eh ng g ax m z
PENGUIN	[PENGUIN]	p eh ng g w ax n
PENGUINS	[PENGUINS]	p eh ng g w ax n z
PENNEY	[PENNEY]	p eh n iy
PENNIES	[PENNIES]	p eh n iy z
PENNY	[PENNY]	p eh n iy
PENS	[PENS]	p eh n z
PENTAGON	[PENTAGON]	p eh n t ix g aa n
PEOPLE	[PEOPLE]	p iy p ax l
PEOPLE'S	[PEOPLE'S]	p iy p ax l z
PEOPLES	[PEOPLES]	p iy p ax l z
PEPPER	[PEPPER]	p eh p er
PEPPER'S	[PEPPER'S]	p eh p er z
PEPPERONI	[PEPPERONI]	p eh p er ow n iy
PEPPERONIS	[PEPPERONIS]	p eh p er ow n iy z
PEPPERS	[PEPPERS]	p eh p er z
PERCENT	[PERCENT]	p er s eh n t
PERCY	[PERCY]	p er s iy
PERCY'S	[PERCY'S]	p er s iy z
PERDEEP	[PERDEEP]	p er d iy p
PERFECT	[PERFECT]	p er f eh k t
PERFECTLY	[PERFECTLY]	p er f ax k t l iy
PERFORM	[PERFORM]	p er f ao r m
PERFORMANCE	[PERFORMANCE]	p er f ao r m ax n s
PERFORMER	[PERFORMER]	p er f ao r m er
PERFORMING	[PERFORMING]	p er f ao r m ix ng
PERFUME	[PERFUME]	p er f y uw m
PERHAPS	[PERHAPS]	p er hh ae p s
PERIDON	[PERIDON]	p eh r iy d aa n
PERIWINKLE	[PERIWINKLE]	p eh r iy w ih n k ax l
PERKIER	[PERKIER]	p er k ih r
PERMANENT	[PERMANENT]	p er m ax n ax n t
PERMITTED	[PERMITTED]	p er m ih dx ax d
PERON	[PERON]	p er ao n
PERPETUATING	[PERPETUATING]	p er p eh ch ax w ey dx ix ng
PERRY	[PERRY]	p eh r iy
PERSON	[PERSON]	p er s ax n
PERSON'S	[PERSON'S]	p er s ax n z
PERSONAL	[PERSONAL]	p er s ix n ix l
PERSONS	[PERSONS]	p er s ax n z
PERU	[PERU]	p er uw
PET	[PET]	p eh t
PETALS	[PETALS]	p eh dx ax l z
PETEETIE	[PETEETIE]	p iy t iy
PETER	[PETER]	p iy dx er
PETER'S	[PETER'S]	p iy dx er z
PETEY	[PETEY]	p iy dx iy
PETTING	[PETTING]	p eh dx ix ng
PETUNIAS	[PETUNIAS]	p ax t uw n iy ax z
PHASE	[PHASE]	f ey z
PHEOBE	[PHEOBE]	f iy b iy
PHILOSOPHY	[PHILOSOPHY]	f ax l aa s ax f iy
PHOEBE	[PHOEBE]	f iy b iy
PHOEBE'S	[PHOEBE'S]	f iy b iy z
PHONE	[PHONE]	f ow n
PHONE'S	[PHONE'S]	f ow n z
PHONY	[PHONY]	f ow n iy
PHOTO	[PHOTO]	f ow t ow
PHOTOGRAPH	[PHOTOGRAPH]	f ow dx ax g r ae f
PHOTOGRAPHS	[PHOTOGRAPHS]	f ow dx ax g r ae f s
PHOTOS	[PHOTOS]	f ow t ow z
PHRASE	[PHRASE]	f r ey z
PIANO	[PIANO]	p iy ae n ow
PICCADILLY	[PICCADILLY]	p ih k ax d ih l iy
PICK	[PICK]	p ih k
PICKED	[PICKED]	p ih k t
PICKER	[PICKER]	p ih k er
PICKING	[PICKING]	p ih k ix ng
PICKLE	[PICKLE]	p ih k ax l
PICKLEBERRY	[PICKLEBERRY]	p ih k ax l b eh r iy
PICKLES	[PICKLES]	p ih k ax l z
PICKS	[PICKS]	p ih k s
PICKUP	[PICKUP]	p ih k ah p
PICKUPTRUCK	[PICKUPTRUCK]	p ih k ah p t r ah k
PICKY	[PICKY]	p ih k iy
PICNIC	[PICNIC]	p ih k n ih k
PICTURE	[PICTURE]	p ih k ch er
PICTURES	[PICTURES]	p ih k ch er z
PICTURE_A	[PICTURE_A]	p ih k
PIE	[PIE]	p ay
PIECE	[PIECE]	p iy s
PIECES	[PIECES]	p iy s ax z
PIEEATING	[PIEEATING]	p ay iy dx ix ng
PIES	[PIES]	p ay z
PIG	[PIG]	p ih g
PIG'S	[PIG'S]	p ih g z
PIGEONS	[PIGEONS]	p ih jh ax n z
PIGGIES	[PIGGIES]	p ih g iy z
PIGGLYSTICK	[PIGGLYSTICK]	p ih g l iy s t ih k
PIGGY	[PIGGY]	p ih g iy
PIGGYBACK	[PIGGYBACK]	p ih g iy b ae k
PIGGYBANK	[PIGGYBANK]	p ih g iy b ae ng k
PIGLET	[PIGLET]	p ih g l ix t
PIGLET'S	[PIGLET'S]	p ih g l ix t s
PIGLETS	[PIGLETS]	p ih g l ix t s
PIGS	[PIGS]	p ih g z
PIGSTY	[PIGSTY]	p ih g z t iy
PIGTAILS	[PIGTAILS]	p ih g t ey l z
PIKACHU	[PIKACHU]	p iy k ah ch uw
PIKACHU'S	[PIKACHU'S]	p iy k ah ch uw z
PIKAPIKA	[PIKAPIKA]	p iy k ah p iy k ah
PILATES	[PILATES]	p iy l aa t eh s
PILE	[PILE]	p ay l
PILED	[PILED]	p ay l d
PILES	[PILES]	p ay l z
PILLOW	[PILLOW]	p ih l ow
PILLOWS	[PILLOWS]	p ih l ow z
PILLS	[PILLS]	p ih l z
PILOT	[PILOT]	p ay l ax t
PILOT'S	[PILOT'S]	p ay l ax t s
PILOTS	[PILOTS]	p ay l ax t s
PIN	[PIN]	p ih n
PINCH	[PINCH]	p ih n ch
PINCHED	[PINCHED]	p ih n ch t
PINEAPPLE	[PINEAPPLE]	p ay n ae p ax l
PINECONE	[PINECONE]	p ay n k ow n
PINK	[PINK]	p ih ng k
PINKY	[PINKY]	p ih ng k iy
PINOCCHIO	[PINOCCHIO]	p ix n ow k iy ow
PINS	[PINS]	p ih n z
PINUKY	[PINUKY]	p ih n uw k iy
PINWHEELS	[PINWHEELS]	p ih n w iy l z
PIPO	[PIPO]	p ay p ow
PIPO'S	[PIPO'S]	p ih p ow z
PIRATE	[PIRATE]	p ay r ax t
PIRATES	[PIRATES]	p ay r ax t s
PISA	[PISA]	p iy s ax
PISHOO	[PISHOO]	p iy sh uw
PIT	[PIT]	p ih t
PITCH	[PITCH]	p ih ch
PITCHER	[PITCHER]	p ih ch er
PITCHING	[PITCHING]	p ih ch ix ng
PITH	[PITH]	p ih th
